date,t2m,sp,rh,wind_speed,pwv,tp
2023/4/17 0:00,308.52,1002,37.2,0.37,16.5,1.00E-05
2023/4/17 0:15,310.15,1002.1,34.9,0.3,16.62,1.00E-05
2023/4/17 0:30,311.22,1002.27,32.87,0.53,16.5,1.00E-05
2023/4/17 0:45,311.72,1002.3,30.9,0.97,16.24,1.00E-05
2023/4/17 1:00,310.75,1002.3,33.03,1,15.09,1.00E-05
2023/4/17 1:15,309.62,1002.4,33.5,1.97,14.01,1.00E-05
2023/4/17 1:30,308.65,1002.43,34.97,2.17,14.17,1.00E-05
2023/4/17 1:45,308.95,1002.5,34.8,2.43,13.42,1.00E-05
2023/4/17 2:00,308.85,1002.5,36,1.8,13.74,1.00E-05
2023/4/17 2:15,309.55,1002.6,34.33,2.3,13.9,1.00E-05
2023/4/17 2:30,308.75,1002.57,35.73,2.37,13.83,0.00011
2023/4/17 2:45,310.02,1002.5,35.2,1.9,16,1.00E-05
2023/4/17 3:00,310.25,1002.4,32.87,2.93,16.92,1.00E-05
2023/4/17 3:15,309.45,1002.2,34.43,2.4,17.01,1.00E-05
2023/4/17 3:30,308.75,1002,33.27,2.77,16.1,1.00E-05
2023/4/17 3:45,309.28,1001.8,33.8,3.1,16.59,1.00E-05
2023/4/17 4:00,309.55,1001.7,33.43,2.27,15.77,1.00E-05
2023/4/17 4:15,309.55,1001.7,31.83,3,14.38,1.00E-05
2023/4/17 4:30,309.55,1001.6,31.43,3.13,11.09,1.00E-05
2023/4/17 4:45,309.82,1001.4,31.67,1.6,11.03,1.00E-05
2023/4/17 5:00,309.95,1001.1,30.1,3.17,13.42,1.00E-05
2023/4/17 5:15,309.85,1001.03,31.73,2.57,12.8,1.00E-05
2023/4/17 5:30,309.95,1000.8,31.77,1.97,11.98,1.00E-05
2023/4/17 5:45,310.28,1000.6,29.9,2.8,12.6,1.00E-05
2023/4/17 6:00,310.35,1000.4,31.6,1.53,13.94,1.00E-05
2023/4/17 6:15,310.05,1000.27,29.8,2.23,14.56,1.00E-05
2023/4/17 6:30,310.42,1000,28.9,2.43,15.09,1.00E-05
2023/4/17 6:45,310.25,999.73,28.2,3.03,15.3,1.00E-05
2023/4/17 7:00,310.15,999.6,27.53,2.03,14.12,1.00E-05
2023/4/17 7:15,310.45,999.4,27.23,2.4,14.03,1.00E-05
2023/4/17 7:30,311.25,999.2,27.03,2.33,14.25,1.00E-05
2023/4/17 7:45,310.45,999,25.87,3.27,15.96,1.00E-05
2023/4/17 8:00,310.38,998.8,26.37,1.8,16.68,1.00E-05
2023/4/17 8:15,309.95,998.5,27.3,2.33,16.76,1.00E-05
2023/4/17 8:30,309.82,998.4,29.07,1.1,16.38,1.00E-05
2023/4/17 8:45,309.18,998.4,29.27,1.8,17.15,1.00E-05
2023/4/17 9:00,308.75,998.47,29.57,0.97,17.51,1.00E-05
2023/4/17 9:15,308.35,998.4,32.17,0.73,17.95,1.00E-05
