date,t2m,sp,rh,wind_speed,pwv,tp
2018/02/14 00:00,282.24,1012.32,41.14,2.64,13.85,1e-05
2018/02/14 01:00,281.77,1012.6,43.18,3.1,13.69,1e-05
2018/02/14 02:00,285.86,1012.15,51.39,3.22,15.43,1e-05
2018/02/14 03:00,285.59,1012.07,51.96,2.78,17.84,1e-05
2018/02/14 04:00,285.35,1011.27,53.23,2.61,17.93,1e-05
2018/02/14 05:00,286.35,1010.02,54.36,2.36,18.03,1e-05
2018/02/14 06:00,286.82,1009.1,54.94,2.15,17.71,1e-05
2018/02/14 07:00,286.77,1008.82,55.62,1.93,17.16,1e-05
2018/02/14 08:00,285.72,1008.77,56.74,1.97,17.57,1e-05
2018/02/14 09:00,285.87,1008.95,56.72,2.15,17.97,1e-05
2018/02/14 10:00,285.34,1010.04,59.37,2.13,17.79,1e-05
2018/02/14 11:00,285.55,1010.97,58.32,1.93,17.89,1e-05
2018/02/14 12:00,285.71,1012,58.08,1.91,17.72,1e-05
2018/02/14 13:00,285.61,1012.85,58.83,2.2,18,1e-05
2018/02/14 14:00,285.55,1013.24,58.72,2.44,18.64,1e-05
2018/02/14 15:00,284.5,1014.07,57.86,2.43,18.44,1e-05
2018/02/14 16:00,284.25,1013.77,57.25,2.38,18.55,1e-05
2018/02/14 17:00,283.71,1013.42,57.34,2.09,18.48,1e-05
2018/02/14 18:00,283.64,1013.55,58.84,1.97,18.94,1e-05
2018/02/14 19:00,284.04,1014.24,60.97,2.4,19.22,1e-05
2018/02/14 20:00,283.49,1014.19,63.67,2.74,19.12,1e-05
2018/02/14 21:00,283.85,1014.09,67.24,2.7,19.42,1e-05
2018/02/14 22:00,282.83,1015.13,73.96,3.05,19.55,1e-05
2018/02/14 23:00,282.99,1015.5,79.73,2.98,20.4,1e-05
2018/02/15 00:00,282.78,1016.35,84.97,3.7,21.2,1e-05
2018/02/15 01:00,282.44,1016.98,88.25,4.35,21.01,1e-05
2018/02/15 02:00,282.28,1017.23,88.02,4.28,21.05,0.01
2018/02/15 03:00,282.3,1017.21,86.1,4.09,21.23,0.02
2018/02/15 04:00,282.37,1017.26,83.66,4.12,20.98,0.02
2018/02/15 05:00,282.35,1015.98,81.68,4.01,21.43,0.01
2018/02/15 06:00,281.9,1015.34,80.32,3.78,20.46,1e-05
2018/02/15 07:00,282.12,1014.66,79.95,3.3,20.59,0.01
2018/02/15 08:00,281.25,1014.66,79.65,3.09,21.37,0.02
2018/02/15 09:00,281.45,1015.14,79.63,3.06,21.71,0.04
2018/02/15 10:00,280.06,1015.56,81.39,3.2,21.41,0.09
2018/02/15 11:00,280.14,1016.08,81.21,3.33,20.44,0.13
2018/02/15 12:00,279.99,1016.82,81.68,3.55,21.01,0.14
2018/02/15 13:00,279.91,1017.4,82.55,3.28,21.63,0.32
2018/02/15 14:00,279.54,1017.2,84.12,3.07,21.45,0.2
2018/02/15 15:00,278.86,1017.41,85.41,2.8,21.25,0.22
2018/02/15 16:00,278.96,1016.88,87.05,2.4,21.65,0.1
2018/02/15 17:00,278.88,1016.66,88.22,1.91,20.65,0.11
2018/02/15 18:00,278.98,1016.01,89.47,1.56,20.58,0.12
2018/02/15 19:00,279.17,1016.08,90.67,2.11,20.01,0.01
2018/02/15 20:00,278.95,1016.17,92.54,2.91,18.4,1e-05
2018/02/15 21:00,278.82,1016.31,91.45,3.14,17.11,1e-05
2018/02/15 22:00,278.71,1016.83,94.97,2.38,16.59,1e-05
2018/02/15 23:00,278.72,1016.96,95.09,1.48,16.43,1e-05
2018/02/16 00:00,278.44,1017.34,97.33,1.08,14.96,1e-05
2018/02/16 01:00,277.72,1017.97,95.93,1.35,13.96,1e-05
2018/02/16 02:00,280.73,1018.54,92.42,1.86,11.56,1e-05
2018/02/16 03:00,280.94,1018.88,85.83,2.28,10.51,1e-05
2018/02/16 04:00,280.97,1018.59,79.72,2.27,10.4,1e-05
2018/02/16 05:00,284.13,1017.66,72.96,2.02,9.91,1e-05
2018/02/16 06:00,284.1,1016.77,69.29,1.62,9.3,1e-05
2018/02/16 07:00,284.23,1016.11,66.9,1.18,9.66,1e-05
2018/02/16 08:00,285.09,1016.1,65.19,0.7,9.28,1e-05
2018/02/16 09:00,285.24,1016.23,64.98,0.2,9.52,1e-05
2018/02/16 10:00,282.96,1016.37,70.37,1.83,9.47,1e-05
2018/02/16 11:00,281.39,1016.98,72,2.27,8.54,1e-05
2018/02/16 12:00,281.37,1017.29,73.32,2.35,8.88,1e-05
2018/02/16 13:00,281.37,1017.69,73.94,2.54,8.43,1e-05
2018/02/16 14:00,281.92,1018.04,74.67,2.25,7.93,1e-05
2018/02/16 15:00,280.12,1018.18,76.9,2.33,7.98,1e-05
2018/02/16 16:00,281.31,1018.2,80.9,2.88,8.43,1e-05
2018/02/16 17:00,281.34,1018.2,84.9,3.07,8.02,1e-05
2018/02/16 18:00,281.29,1018.42,87.36,2.89,8.59,1e-05
2018/02/16 19:00,281.04,1018.21,88.05,3.27,8.19,1e-05
2018/02/16 20:00,280.7,1017.13,88.76,4.03,7.74,1e-05
2018/02/16 21:00,280.61,1016.43,89.49,4.3,7.35,1e-05
2018/02/16 22:00,280.31,1016.64,96.17,4.25,7.15,1e-05
2018/02/16 23:00,280.41,1016.94,96.11,4.5,6.99,1e-05
2018/02/17 00:00,280.34,1016.9,96.38,5.15,8.65,1e-05
2018/02/17 01:00,280.09,1017.24,93.06,6.9,7.9,1e-05
2018/02/17 02:00,282.47,1016.77,86.56,6.5,7.59,1e-05
2018/02/17 03:00,282.26,1016.63,77.43,6.33,7.18,1e-05
2018/02/17 04:00,283.02,1015.75,73.8,5.49,7.85,1e-05
2018/02/17 05:00,285.4,1014.72,69.74,4.67,8.81,1e-05
2018/02/17 06:00,285.44,1013.35,67,4.43,9.2,1e-05
2018/02/17 07:00,285.83,1012.31,64.45,4.43,10.21,1e-05
2018/02/17 08:00,285.87,1011.82,62.81,4.13,11.67,1e-05
2018/02/17 09:00,285.53,1011.52,63.26,3.15,13.47,1e-05
2018/02/17 10:00,284.09,1011.79,64.78,2.66,15.98,1e-05
2018/02/17 11:00,284.07,1012.32,65.56,3.05,17.23,1e-05
2018/02/17 12:00,284.3,1012.81,67.76,3.46,18.9,1e-05
2018/02/17 13:00,284.39,1013.15,71.54,3.62,19.38,1e-05
2018/02/17 14:00,284.12,1013.43,73.88,2.76,20.31,0.02
2018/02/17 15:00,283.65,1013.92,75.15,2.1,22.05,0.46
2018/02/17 16:00,283.04,1014.13,74.68,2.86,22.87,0.69
2018/02/17 17:00,282.76,1014.27,74.28,2.88,22.52,0.03
2018/02/17 18:00,282.81,1014.18,74.66,2.84,22.96,0.01
2018/02/17 19:00,282.85,1014.34,75.3,3.05,23.45,1e-05
2018/02/17 20:00,282.47,1013.87,75.4,3.4,22.77,1e-05
2018/02/17 21:00,282.69,1014.29,74.16,3.65,23.24,0.01
2018/02/17 22:00,281.69,1015.15,75.14,3.86,23.22,0.05
2018/02/17 23:00,281.45,1015.75,75.99,4.47,23.71,0.61
2018/02/18 00:00,281.14,1015.93,77.76,4.96,24.8,0.55
2018/02/18 01:00,280.54,1016.88,79.53,4.97,24.43,0.41
2018/02/18 02:00,280.2,1017.2,82.15,5.05,24.81,0.78
2018/02/18 03:00,279.96,1017.41,83.59,5.14,23.86,0.23
2018/02/18 04:00,280.06,1017.25,84.88,4.92,23.75,0.52
2018/02/18 05:00,280.08,1016.22,86.55,4.85,23.82,0.89
2018/02/18 06:00,280.18,1016.11,87.11,4.5,22.83,0.92
2018/02/18 07:00,280.02,1015.82,87.61,4.43,22.66,0.15
2018/02/18 08:00,279.55,1015.94,87.65,4.35,23.22,0.12
2018/02/18 09:00,279.63,1016.43,87.57,4.27,22.52,0.03
2018/02/18 10:00,279.28,1016.79,88.17,4.17,23.09,1e-05
2018/02/18 11:00,279.53,1017.54,87.5,3.77,21.22,0.01
2018/02/18 12:00,279.52,1018.25,87.39,3.71,20.94,0.43
2018/02/18 13:00,279.56,1018.38,87.89,3.99,20.35,0.75
2018/02/18 14:00,279.54,1018.31,89.63,4.22,20.06,0.29
2018/02/18 15:00,279.28,1018.69,90.74,4.27,19.59,0.13
2018/02/18 16:00,279.31,1018.4,91.42,3.94,20.82,0.58
2018/02/18 17:00,279.28,1018.3,91.95,3.38,21.98,0.15
2018/02/18 18:00,279.31,1017.67,91.74,2.86,22.86,0.17
2018/02/18 19:00,279.4,1017.42,92.57,2.02,23.14,0.41
2018/02/18 20:00,279.05,1017.1,93.86,2.2,22.54,0.32
2018/02/18 21:00,279.11,1017.58,95.49,3.8,22.39,0.32
2018/02/18 22:00,278.67,1018.94,97.16,4.16,22.51,1.1
2018/02/18 23:00,278.64,1019.35,97.83,3.98,22.42,1.02
2018/02/19 00:00,278.52,1019.48,98.24,3.9,22.92,0.91
2018/02/19 01:00,278.52,1020.08,97.96,3.7,21.99,1.02
2018/02/19 02:00,278.73,1020.3,97.73,3.24,20.95,0.54
2018/02/19 03:00,278.57,1020.29,97.07,3.6,20.04,0.38
2018/02/19 04:00,278.4,1019.8,96.63,3.72,19.76,0.12
2018/02/19 05:00,278.95,1018.54,96.54,2.87,19.91,0.02
2018/02/19 06:00,278.69,1017.93,95.42,2.72,18.99,0.01
2018/02/19 07:00,278.87,1017.41,92.49,3.06,18.61,1e-05
2018/02/19 08:00,279.24,1017.54,89.31,3.1,18.01,1e-05
2018/02/19 09:00,279.64,1017.77,86.52,2.87,18,1e-05
2018/02/19 10:00,279.36,1018.52,87.17,2.08,18.22,1e-05
2018/02/19 11:00,279.61,1019.07,85.98,1.24,17.44,1e-05
2018/02/19 12:00,279.7,1019.44,85.12,1.24,17.25,1e-05
2018/02/19 13:00,280.07,1019.59,84.48,1.43,17.38,1e-05
2018/02/19 14:00,280.16,1019.52,84.62,2.11,16.92,1e-05
2018/02/19 15:00,279.74,1019.85,85.43,2.33,17.26,1e-05
2018/02/19 16:00,279.72,1019.15,86.49,2.06,17.23,1e-05
2018/02/19 17:00,279.78,1019.18,87.54,2.34,17.41,1e-05
2018/02/19 18:00,279.63,1019.2,88.79,3.17,17.85,1e-05
2018/02/19 19:00,279.6,1018.95,89.75,3.36,18.38,1e-05
2018/02/19 20:00,279.37,1017.94,90.33,3.24,18.57,1e-05
2018/02/19 21:00,279.47,1017.24,90.33,2.58,19.04,0.02
2018/02/19 22:00,279.31,1017.77,92.58,1.63,20.39,0.27
2018/02/19 23:00,279.41,1018.42,91.82,1.36,22.7,0.76
2018/02/20 00:00,279.42,1018.98,91.26,1.91,23.52,1.41
2018/02/20 01:00,279.25,1019.02,91.33,1.54,22.61,1.69
2018/02/20 02:00,279.44,1018.94,93.2,1.58,22.43,1.84
2018/02/20 03:00,279.8,1018.31,94.11,1.47,21.59,1.33
2018/02/20 04:00,279.53,1018.41,94.48,1.99,21.96,1.52
2018/02/20 05:00,279.37,1017.54,95.36,2.47,21.63,1.56
2018/02/20 06:00,279.86,1017.16,94.47,3.5,20.25,0.62
2018/02/20 07:00,279.93,1016.86,94.69,3.85,19.5,0.98
2018/02/20 08:00,280.23,1017.46,93.23,3.77,19.17,0.57
2018/02/20 09:00,280.21,1017.23,93.9,3.17,18.66,0.16
2018/02/20 10:00,279.75,1018.04,93.43,2.85,17.24,0.03
2018/02/20 11:00,279.77,1018.94,93.26,2.84,15.39,1e-05
2018/02/20 12:00,279.84,1020.26,92.93,3.27,13.93,1e-05
2018/02/20 13:00,279.81,1020.52,93.48,3.26,13.3,1e-05
2018/02/20 14:00,279.71,1020.37,93.47,3.71,12.92,1e-05
2018/02/20 15:00,279.39,1020.2,92.32,3.62,12.97,1e-05
2018/02/20 16:00,279.08,1020.95,90.82,3.53,13.03,1e-05
2018/02/20 17:00,278.9,1021.66,89.85,3.36,13.79,1e-05
2018/02/20 18:00,278.77,1021.12,89.96,3.32,14.6,1e-05
2018/02/20 19:00,278.86,1021.57,90.32,3.41,13.96,1e-05
2018/02/20 20:00,278.59,1021.12,90.26,3.16,13.75,1e-05
2018/02/20 21:00,278.72,1020.91,90.07,3.13,12.82,1e-05
2018/02/20 22:00,278.51,1022.17,90.46,3.33,12.08,1e-05
2018/02/20 23:00,278.37,1022.02,91.72,4.08,13.4,1e-05
2018/02/21 00:00,278.61,1022.26,92.78,4.11,16.23,1e-05
2018/02/21 01:00,279.09,1022.8,93.97,3.77,16.51,0.12
2018/02/21 02:00,279.95,1023.12,90.56,3.37,17.29,0.37
2018/02/21 03:00,279.9,1023.41,88.24,3.23,16.41,1e-05
2018/02/21 04:00,279.51,1023.25,85.27,3.36,16.88,1e-05
2018/02/21 05:00,280.27,1022.04,79.89,3.39,16.83,0.09
2018/02/21 06:00,280.32,1021.53,75.97,3.48,15.9,0.1
2018/02/21 07:00,280.2,1020.63,72.01,3.55,15.46,1e-05
2018/02/21 08:00,280.91,1020.65,69.32,3.1,14.51,1e-05
2018/02/21 09:00,280.53,1020.67,68.11,2.24,14.06,1e-05
2018/02/21 10:00,279.91,1021.42,73.07,2.05,13.9,1e-05
2018/02/21 11:00,279.94,1021.77,72.4,2.21,12.82,1e-05
2018/02/21 12:00,280.22,1022.12,72.78,2.87,13.08,1e-05
2018/02/21 13:00,280.29,1022.98,73.9,3.4,12.96,0.01
2018/02/21 14:00,279.89,1023.19,75.02,3.49,12.34,0.01
2018/02/21 15:00,279.03,1023.69,75.08,3.55,12.5,1e-05
2018/02/21 16:00,278.95,1023.33,75,3.42,12.26,1e-05
2018/02/21 17:00,279.01,1023.18,74.89,3.29,11.92,1e-05
2018/02/21 18:00,278.76,1022.45,76.07,2.97,11.43,1e-05
2018/02/21 19:00,278.66,1022.38,77.59,2.15,10.12,1e-05
2018/02/21 20:00,277.8,1022.09,79.91,1.35,9.61,1e-05
2018/02/21 21:00,278.99,1022.89,80.2,1.88,8.32,1e-05
2018/02/21 22:00,278.21,1022.84,85.88,1.93,9.21,1e-05
2018/02/21 23:00,277.92,1024.1,84.21,1.69,10.05,1e-05
2018/02/22 00:00,277.87,1024.13,82.61,1.53,9.24,1e-05
2018/02/22 01:00,277.31,1024.76,83.95,1.02,9.05,1e-05
2018/02/22 02:00,280.96,1024.6,84.12,0.49,8.18,1e-05
2018/02/22 03:00,280.72,1024.54,75.24,0.8,6.78,1e-05
2018/02/22 04:00,280.73,1023.87,67.39,0.97,6.15,1e-05
2018/02/22 05:00,283.75,1022.59,63.05,1.28,6.08,1e-05
2018/02/22 06:00,283.74,1021.39,58.54,1.56,5.27,1e-05
2018/02/22 07:00,283.91,1020.49,55.09,1.73,4.47,1e-05
2018/02/22 08:00,284.33,1019.96,53.74,1.96,3.93,1e-05
2018/02/22 09:00,284.49,1019.66,53.61,2.16,3.28,1e-05
2018/02/22 10:00,280.46,1019.24,55.24,1.8,3.87,1e-05
2018/02/22 11:00,279.71,1020.1,55.57,2.12,3.28,1e-05
2018/02/22 12:00,279.78,1020.69,56.41,2.18,3.46,1e-05
2018/02/22 13:00,279.85,1020.91,57.64,2.22,3.19,1e-05
2018/02/22 14:00,279.59,1021.19,58.96,2.21,3.62,1e-05
2018/02/22 15:00,278.64,1021.35,60.32,2.27,5.12,1e-05
2018/02/22 16:00,278.9,1020.76,62.15,2.19,5.88,1e-05
2018/02/22 17:00,278.45,1020.69,64.47,2.09,5.68,1e-05
2018/02/22 18:00,278.3,1020.39,67.25,2.25,5.31,1e-05
2018/02/22 19:00,278.12,1020.23,69.56,2.6,4.82,1e-05
2018/02/22 20:00,277.9,1019.4,71.43,2.61,4.84,1e-05
2018/02/22 21:00,277.55,1019.3,71.57,2.46,4.26,1e-05
2018/02/22 22:00,277.61,1019.29,73.98,2.06,4.13,1e-05
2018/02/22 23:00,278.13,1019.22,72.76,2.25,4.66,1e-05
2018/02/23 00:00,278.83,1019.15,70.88,3.18,4.76,1e-05
2018/02/23 01:00,278.41,1019.45,70.15,2.83,4.36,1e-05
2018/02/23 02:00,284.65,1019.55,76.78,3.24,4.95,1e-05
2018/02/23 03:00,284.82,1019.29,65.93,3.48,3.89,1e-05
2018/02/23 04:00,285.6,1018.4,57.79,3.44,4.14,1e-05
2018/02/23 05:00,288.62,1016.88,53.03,3.31,5,1e-05
2018/02/23 06:00,288.63,1015.7,50.32,3.25,5.64,1e-05
2018/02/23 07:00,288.91,1014.66,48.5,3.35,6.95,1e-05
2018/02/23 08:00,288.55,1014.21,48.26,3.45,8.44,1e-05
2018/02/23 09:00,288.62,1014,49.16,2.75,11.06,1e-05
2018/02/23 10:00,286.31,1013.27,49.77,2.57,14.37,1e-05
2018/02/23 11:00,286.87,1013.52,53.07,3.77,15.03,1e-05
2018/02/23 12:00,287.41,1014.33,56.5,4.58,15.66,1e-05
2018/02/23 13:00,287.38,1014.88,58.88,4.74,16.48,0.42
2018/02/23 14:00,286.13,1015.88,62.07,4.26,16.07,0.29
2018/02/23 15:00,284.47,1016.16,64.03,4.13,18.11,0.47
2018/02/23 16:00,284.82,1016.03,65.92,3.49,17.84,0.48
2018/02/23 17:00,284.31,1015.98,67.81,3.01,19.93,0.24
2018/02/23 18:00,284.7,1015.68,67.74,2.88,20.22,0.26
2018/02/23 19:00,285.08,1015.49,66.45,2.61,19.69,1e-05
2018/02/23 20:00,284.41,1015.61,66.31,2.39,18.96,1e-05
2018/02/23 21:00,284.57,1015.73,66.66,2.09,18.08,0.01
2018/02/23 22:00,283.77,1016.61,67.75,2.18,18.25,1e-05
2018/02/23 23:00,283.83,1016.91,69.8,1.73,20.12,1e-05
2018/02/24 00:00,283.51,1017.82,70.24,1.33,20.6,1e-05
2018/02/24 01:00,283.34,1018.92,72.78,1.45,20.31,1e-05
2018/02/24 02:00,284.5,1019.49,76.31,1.6,20.51,1e-05
